track_file; hashed_config; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; min_trace_length; bee_max_step_length; bee_max_step_len_per_frame; min_trace_length_to_merge; max_trace_gap; max_overlap_length; max_step_distance_to_merge_overlapping_traces; min_step_distance_to_merge_overlapping_traces; max_shift; force_merge_vicinity_distance; vicinity_of_short_traces; maximal_distance_to_check_for_trace_swapping; max_trace_gap_to_interpolate_distance; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size; ;file_id 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 5537095342118715238; 2023-03-16 02:15:26.460996; False; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 3282990644793373777; 2023-03-21 17:16:52.669144; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 3282990644793373777; 2023-03-27 14:13:32.905742; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 3282990644793373777; 2023-03-27 15:01:52.014609; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 200; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 273294897399109140; 2023-04-16 19:40:39.669455; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
../data/Video_tracking/190823/20190823_114450691_1BEE_generated_20210506_100518_nn.csv; 1695910011231050619; 2023-04-20 11:43:30.157791; False; False; False; 49; 100; 70; 20; 50; 100; 172; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 15; 15; 9; 1; 0; 6; 6; 1; ;4 
4
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 5537095342118715238; 2023-03-16 02:15:26.909225; False; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 3; 1; ;5 
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 3282990644793373777; 2023-03-21 17:16:53.102129; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 3; 1; ;5 
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 3282990644793373777; 2023-03-27 14:13:33.378022; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 3; 1; ;5 
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 3282990644793373777; 2023-03-27 15:03:24.206192; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 200; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 2; 1; ;5 
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 273294897399109140; 2023-04-16 19:40:40.197807; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 3; 1; ;5 
../data/Video_tracking/190903/20190903_134034775_1BEE_generated_20210511_083234_nn.csv; 1695910011231050619; 2023-04-20 11:43:30.301346; False; False; False; 49; 100; 70; 20; 50; 100; 172; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 19; 19; 4; 1; 0; 3; 3; 1; ;5 
5
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 5537095342118715238; 2023-03-16 02:15:27.385540; True; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 3; 1; ;6 
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 3282990644793373777; 2023-03-21 17:16:53.565058; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 3; 1; ;6 
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 3282990644793373777; 2023-03-27 14:13:33.827671; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 3; 1; ;6 
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 3282990644793373777; 2023-03-27 15:05:21.730487; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 200; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 2; 1; ;6 
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 273294897399109140; 2023-04-16 19:40:40.707067; True; False; False; 49; 100; 70; 20; 50; 100; ; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 2; 1; ;6 
../data/Video_tracking/190903/20190903_172942424_1BEE_generated_20210520_073610_nn.csv; 1695910011231050619; 2023-04-20 11:43:39.902965; True; False; False; 49; 100; 70; 20; 50; 100; 172; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 62; 62; 26; 6; 0; 3; 2; 1; ;6 
6
